name	bad_versions	incident	confidence	sources
python-argdispatch	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-autopep8-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-avalon_framework	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-awkward	2.9.0-2	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-axolotl-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,aur-git-mirror,cachyos-forum
python-calmjs	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-celery	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-cerealizer	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,aur-git-mirror,cachyos-forum
python-ci-info	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-coolname	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-coremltools	*	atomic-arch-2026-06	single-source	aur-git-mirror
python-cu2qu-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,grht-list,aur-git-mirror,cscs-list
python-dataproperty	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-dbapi-compliance	*	atomic-arch-2026-06	primary-source	aur-general-thread,grht-list,aur-git-mirror,cscs-list
python-dictobject	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-dj-database-url	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-django-modelcluster	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,aur-git-mirror,cachyos-forum
python-django-rest-knox	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,aur-git-mirror,cachyos-forum
python-dugong	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
python-epc	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
python-fastmcp-slim	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-finnhub-python	*	atomic-arch-2026-06	primary-source	aur-general-thread,grht-list,aur-git-mirror,cscs-list
python-firebase-admin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-fmu_manipulation_toolbox	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-future	*	atomic-arch-2026-06	primary-source	aur-general-thread,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-g4f	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-gmpy	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-hist	2.9.1-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-histoprint	2.6.0-2	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-hsaudiotag3k	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-iminuit	2.32.0-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-iminuit-docs	2.32.0-1	atomic-arch-2026-06	primary-source	research-2026-06-12
python-iso3166	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-isounidecode	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-isr-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-jsmin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-json2xml	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-kiss-headers	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-luckydonald-utils	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-miio	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
python-milvus-lite-bin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-mmcif	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
python-monotonic	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
